Renamed,Original,Scenario,DS#,Random seed,filename,DGPid,trueATE
high1068,CHDScenario14DS87,,14,0.303778562794149,high1068,14,61.11
high1069,CHDScenario13DS40,,13,0.389522982078963,high1069,13,-0.8486
high107,CHDScenario7DS52,,7,0.549481479173141,high107,7,0
high1070,CHDScenario12DS68,,12,0.0512773027554598,high1070,12,-3.159
high1071,CHDScenario5DS81,,5,0.0964741637675021,high1071,5,-0.3429
high1072,CHDScenario8DS2,,8,0.874538260721674,high1072,8,-1.432
high1073,CHDScenario12DS92,,12,0.655631560860177,high1073,12,-3.159
high1074,CHDScenario16DS57,,16,0.783995858785501,high1074,16,1
high1075,CHDScenario12DS55,,12,0.334586781107305,high1075,12,-3.159
high1076,CHDScenario14DS49,,14,0.0663234744817743,high1076,14,61.11
high1077,CHDScenario1DS13,13,1,0.452227974718498,high1077,1,0.2
high1078,CHDScenario3DS21,,3,0.223384973971886,high1078,3,-0.800000000000001
high1079,CHDScenario9DS33,,9,0.195589020778445,high1079,9,12.62
high108,CHDScenario14DS27,,14,0.293104170151902,high108,14,61.11
high1080,CHDScenario3DS95,,3,0.161849670600885,high1080,3,-0.800000000000001
high1081,CHDScenario7DS24,,7,0.0519596034436654,high1081,7,0
high1082,CHDScenario13DS61,,13,0.425271972411458,high1082,13,-0.8486
high1083,CHDScenario13DS90,,13,0.988364691110728,high1083,13,-0.8486
high1084,CHDScenario3DS10,,3,0.510386752091132,high1084,3,-0.800000000000001
high1085,CHDScenario12DS33,,12,0.8291067510429,high1085,12,-3.159
high1086,CHDScenario3DS89,,3,0.78835678850244,high1086,3,-0.800000000000001
high1087,CHDScenario14DS11,,14,0.573387638554379,high1087,14,61.11
high1088,CHDScenario11DS94,,11,0.601737282416136,high1088,11,10.77
high1089,CHDScenario8DS79,,8,0.851480148188384,high1089,8,-1.432
high109,CHDScenario13DS68,,13,0.107639444734679,high109,13,-0.8486
high1090,CHDScenario1DS19,19,1,0.0314341254394519,high1090,1,0.2
high1091,CHDScenario10DS45,,10,0.631859427768832,high1091,10,9.134
high1092,CHDScenario11DS85,,11,0.721798772261927,high1092,11,10.77
high1093,CHDScenario16DS15,,16,0.486299402100172,high1093,16,1
high1094,CHDScenario5DS92,,5,0.720883325915072,high1094,5,-0.3429
high1095,CHDScenario1DS40,40,1,0.706831709208803,high1095,1,0.2
high1096,CHDScenario8DS24,,8,0.567405028469482,high1096,8,-1.432
high1097,CHDScenario9DS48,,9,0.902422251768644,high1097,9,12.62
high1098,CHDScenario15DS36,,15,0.344737898627202,high1098,15,-0.16058
high1099,CHDScenario16DS25,,16,0.178468768447129,high1099,16,1
high11,CHDScenario2DS47,147,2,0.428285178574752,high11,2,0.8
high110,CHDScenario1DS3,3,1,0.519376690017284,high110,1,0.2
high1100,CHDScenario8DS56,,8,0.937167741803859,high1100,8,-1.432
high1101,CHDScenario6DS18,,6,0.53772002730088,high1101,6,-1.1039
high1102,CHDScenario11DS42,,11,0.209723188696126,high1102,11,10.77
high1103,CHDScenario2DS29,129,2,0.0362823931704166,high1103,2,0.8
high1104,CHDScenario6DS19,,6,0.0279559841671068,high1104,6,-1.1039
high1105,CHDScenario4DS73,,4,0.6156299215155,high1105,4,2.1
high1106,CHDScenario1DS2,2,1,0.133940988035703,high1106,1,0.2
high1107,CHDScenario9DS60,,9,0.445241177408614,high1107,9,12.62
high1108,CHDScenario14DS83,,14,0.155505514133711,high1108,14,61.11
high1109,CHDScenario12DS2,,12,0.0681904278123019,high1109,12,-3.159
high111,CHDScenario12DS28,,12,0.203777429899351,high111,12,-3.159
high1110,CHDScenario13DS65,,13,0.328903312715119,high1110,13,-0.8486
high1111,CHDScenario16DS29,,16,0.7373480239164,high1111,16,1
high1112,CHDScenario15DS47,,15,0.233499656808054,high1112,15,-0.16058
high1113,CHDScenario9DS20,,9,0.939786022675987,high1113,9,12.62
high1114,CHDScenario16DS38,,16,0.570950092132001,high1114,16,1
high1115,CHDScenario2DS98,,2,0.0181180470071654,high1115,2,0.8
high1116,CHDScenario4DS37,,4,0.159044696670996,high1116,4,2.1
high1117,CHDScenario9DS84,,9,0.892715121617937,high1117,9,12.62
high1118,CHDScenario8DS3,,8,0.150925849223337,high1118,8,-1.432
high1119,CHDScenario12DS15,,12,0.998483944998819,high1119,12,-3.159
high112,CHDScenario5DS19,,5,0.276064354218686,high112,5,-0.3429
high1120,CHDScenario12DS22,,12,0.0215852662623177,high1120,12,-3.159
high1121,CHDScenario2DS28,128,2,0.0657189270034871,high1121,2,0.8
high1122,CHDScenario12DS42,,12,0.730460488425698,high1122,12,-3.159
high1123,CHDScenario2DS43,143,2,0.85605326331909,high1123,2,0.8
high1124,CHDScenario3DS83,,3,0.127879721368286,high1124,3,-0.800000000000001
high1125,CHDScenario7DS14,,7,0.423152367098127,high1125,7,0
high1126,CHDScenario7DS48,,7,0.0236420933108459,high1126,7,0
high1127,CHDScenario10DS36,,10,0.738524284372959,high1127,10,9.134
high1128,CHDScenario13DS24,,13,0.885640893573144,high1128,13,-0.8486
high1129,CHDScenario3DS20,,3,0.0402860148368581,high1129,3,-0.800000000000001
high113,CHDScenario13DS78,,13,0.316089457825201,high113,13,-0.8486
high1130,CHDScenario7DS47,,7,0.115065378754668,high1130,7,0
high1131,CHDScenario13DS45,,13,0.898194443621564,high1131,13,-0.8486
high1132,CHDScenario9DS79,,9,0.249787216357522,high1132,9,12.62
high1133,CHDScenario1DS38,38,1,0.774223638283174,high1133,1,0.2
high1134,CHDScenario2DS6,106,2,0.00444782437226965,high1134,2,0.8
high1135,CHDScenario5DS18,,5,0.428469147143229,high1135,5,-0.3429
high1136,CHDScenario2DS80,180,2,0.498395334270851,high1136,2,0.8
high1137,CHDScenario9DS46,,9,0.100456960674821,high1137,9,12.62
high1138,CHDScenario10DS21,,10,0.523544056903197,high1138,10,9.134
high1139,CHDScenario9DS50,,9,0.706148299456092,high1139,9,12.62
high114,CHDScenario4DS18,,4,0.318397603411393,high114,4,2.1
high1140,CHDScenario10DS31,,10,0.592394828068924,high1140,10,9.134
high1141,CHDScenario13DS92,,13,0.144879816091654,high1141,13,-0.8486
high1142,CHDScenario15DS69,,15,0.0745144071455833,high1142,15,-0.16058
high1143,CHDScenario11DS68,,11,0.267769466835235,high1143,11,10.77
high1144,CHDScenario5DS39,,5,0.600269580620375,high1144,5,-0.3429
high1145,CHDScenario2DS50,150,2,0.189396476867044,high1145,2,0.8
high1146,CHDScenario9DS99,,9,0.597677803256978,high1146,9,12.62
high1147,CHDScenario4DS58,,4,0.787309272983259,high1147,4,2.1
high1148,CHDScenario16DS45,,16,0.43212239544347,high1148,16,1
high1149,CHDScenario12DS7,,12,0.410021682688189,high1149,12,-3.159
high115,CHDScenario12DS96,,12,0.950636955061979,high115,12,-3.159
high1150,CHDScenario1DS32,32,1,0.668299142289826,high1150,1,0.2
high1151,CHDScenario6DS20,,6,0.27423112560813,high1151,6,-1.1039
high1152,CHDScenario10DS72,,10,0.720061547339887,high1152,10,9.134
high1153,CHDScenario14DS4,,14,0.0212851522387009,high1153,14,61.11
high1154,CHDScenario15DS24,,15,0.17394916009037,high1154,15,-0.16058
high1155,CHDScenario13DS79,,13,0.823040698260897,high1155,13,-0.8486
high1156,CHDScenario9DS61,,9,0.943038539192908,high1156,9,12.62
high1157,CHDScenario13DS51,,13,0.806009972687956,high1157,13,-0.8486
high1158,CHDScenario7DS17,,7,0.349053806166979,high1158,7,0
high1159,CHDScenario2DS46,146,2,0.717744685257034,high1159,2,0.8
high116,CHDScenario4DS56,,4,0.271364056696688,high116,4,2.1
high1160,CHDScenario15DS64,,15,0.714077478641164,high1160,15,-0.16058
high1161,CHDScenario6DS91,,6,0.0401634986436529,high1161,6,-1.1039
high1162,CHDScenario6DS65,,6,0.360598221022628,high1162,6,-1.1039
high1163,CHDScenario8DS57,,8,0.0713725752511257,high1163,8,-1.432
high1164,CHDScenario9DS7,,9,0.591216571672305,high1164,9,12.62
high1165,CHDScenario12DS39,,12,0.986335428128643,high1165,12,-3.159
high1166,CHDScenario15DS77,,15,0.298951216883328,high1166,15,-0.16058
high1167,CHDScenario11DS19,,11,0.685475427900255,high1167,11,10.77
high1168,CHDScenario12DS98,,12,0.841219992214664,high1168,12,-3.159
high1169,CHDScenario13DS26,,13,0.642675165561385,high1169,13,-0.8486
high117,CHDScenario15DS16,,15,0.43356165236325,high117,15,-0.16058
high1170,CHDScenario13DS64,,13,0.718516344097359,high1170,13,-0.8486
high1171,CHDScenario8DS80,,8,0.160409360089584,high1171,8,-1.432
high1172,CHDScenario4DS36,,4,0.79093549030243,high1172,4,2.1
high1173,CHDScenario9DS54,,9,0.186816927089823,high1173,9,12.62
high1174,CHDScenario15DS18,,15,0.556397022350562,high1174,15,-0.16058
high1175,CHDScenario11DS29,,11,0.441608226493395,high1175,11,10.77
high1176,CHDScenario14DS80,,14,0.239917569192923,high1176,14,61.11
high1177,CHDScenario8DS4,,8,0.254242584273791,high1177,8,-1.432
high1178,CHDScenario10DS93,,10,0.658595526162661,high1178,10,9.134
high1179,CHDScenario4DS23,,4,0.536110453213903,high1179,4,2.1
high118,CHDScenario5DS41,,5,0.737399150211126,high118,5,-0.3429
high1180,CHDScenario2DS75,175,2,0.272329279231709,high1180,2,0.8
high1181,CHDScenario2DS36,136,2,0.968282619428495,high1181,2,0.8
high1182,CHDScenario12DS24,,12,0.816236066961291,high1182,12,-3.159
high1183,CHDScenario16DS96,,16,0.38710033001633,high1183,16,1
high1184,CHDScenario15DS99,,15,0.379301838716334,high1184,15,-0.16058
high1185,CHDScenario9DS59,,9,0.385169440164549,high1185,9,12.62
high1186,CHDScenario3DS6,,3,0.0304050428634866,high1186,3,-0.800000000000001
high1187,CHDScenario12DS36,,12,0.0998615413642129,high1187,12,-3.159
high1188,CHDScenario7DS84,,7,0.902726383740693,high1188,7,0
high1189,CHDScenario11DS39,,11,0.860573370909725,high1189,11,10.77
high119,CHDScenario15DS51,,15,0.212437302908217,high119,15,-0.16058
high1190,CHDScenario5DS6,,5,0.33764007167351,high1190,5,-0.3429
high1191,CHDScenario16DS20,,16,0.937489487385073,high1191,16,1
high1192,CHDScenario8DS100,,8,0.29817709791055,high1192,8,-1.432
high1193,CHDScenario6DS30,,6,0.732115053248049,high1193,6,-1.1039
high1194,CHDScenario16DS69,,16,0.227197113288199,high1194,16,1
high1195,CHDScenario4DS19,,4,0.993166403243154,high1195,4,2.1
high1196,CHDScenario3DS19,,3,0.43238226046697,high1196,3,-0.800000000000001
high1197,CHDScenario15DS32,,15,0.209863568638017,high1197,15,-0.16058
high1198,CHDScenario11DS17,,11,0.874445241864984,high1198,11,10.77
high1199,CHDScenario6DS48,,6,0.532229352003559,high1199,6,-1.1039
high12,CHDScenario4DS12,,4,0.483784933664219,high12,4,2.1
high120,CHDScenario1DS60,60,1,0.052771891733193,high120,1,0.2
high1200,CHDScenario14DS69,,14,0.874964737238354,high1200,14,61.11
high1201,CHDScenario6DS21,,6,0.252791527132332,high1201,6,-1.1039
high1202,CHDScenario4DS44,,4,0.669872177257179,high1202,4,2.1
high1203,CHDScenario12DS5,,12,0.798179082899129,high1203,12,-3.159
high1204,CHDScenario6DS67,,6,0.0326751170221526,high1204,6,-1.1039
high1205,CHDScenario16DS90,,16,0.798847040821538,high1205,16,1
high1206,CHDScenario7DS76,,7,0.131411372161652,high1206,7,0
high1207,CHDScenario16DS64,,16,0.522120690492279,high1207,16,1
high1208,CHDScenario13DS5,,13,0.273092183157546,high1208,13,-0.8486
high1209,CHDScenario12DS80,,12,0.296476483374666,high1209,12,-3.159
high121,CHDScenario9DS66,,9,0.419818656460346,high121,9,12.62
high1210,CHDScenario7DS77,,7,0.177222578636001,high1210,7,0
high1211,CHDScenario10DS97,,10,0.252994213466914,high1211,10,9.134
high1212,CHDScenario9DS91,,9,0.754843340243231,high1212,9,12.62
high1213,CHDScenario15DS17,,15,0.772110308228152,high1213,15,-0.16058
high1214,CHDScenario13DS15,,13,0.048020900037152,high1214,13,-0.8486
high1215,CHDScenario12DS78,,12,0.509797509410408,high1215,12,-3.159
high1216,CHDScenario2DS7,107,2,0.664121775812928,high1216,2,0.8
high1217,CHDScenario15DS31,,15,0.926521481267946,high1217,15,-0.16058
high1218,CHDScenario8DS68,,8,0.0109741193260886,high1218,8,-1.432
high1219,CHDScenario3DS8,,3,0.63297684916843,high1219,3,-0.800000000000001
high122,CHDScenario5DS45,,5,0.894166861601486,high122,5,-0.3429
high1220,CHDScenario10DS20,,10,0.977128987020182,high1220,10,9.134
high1221,CHDScenario13DS12,,13,0.703398284602755,high1221,13,-0.8486
high1222,CHDScenario16DS16,,16,0.0968216996036865,high1222,16,1
high1223,CHDScenario7DS82,,7,0.0313407383028124,high1223,7,0
high1224,CHDScenario1DS46,46,1,0.0215852582875516,high1224,1,0.2
high1225,CHDScenario9DS53,,9,0.804663603797392,high1225,9,12.62
high1226,CHDScenario14DS40,,14,0.508718241778825,high1226,14,61.11
high1227,CHDScenario7DS89,,7,0.499093589320275,high1227,7,0
high1228,CHDScenario12DS71,,12,0.920957072279458,high1228,12,-3.159
high1229,CHDScenario9DS23,,9,0.480029426749142,high1229,9,12.62
high123,CHDScenario1DS24,24,1,0.420257736798751,high123,1,0.2
high1230,CHDScenario5DS10,,5,0.274369727998614,high1230,5,-0.3429
high1231,CHDScenario12DS95,,12,0.181512197043512,high1231,12,-3.159
high1232,CHDScenario16DS48,,16,0.698015175022802,high1232,16,1
high1233,CHDScenario2DS48,148,2,0.164226870200525,high1233,2,0.8
high1234,CHDScenario15DS74,,15,0.789818783218837,high1234,15,-0.16058
high1235,CHDScenario7DS70,,7,0.219825939347054,high1235,7,0
high1236,CHDScenario6DS87,,6,0.343033355509491,high1236,6,-1.1039
high1237,CHDScenario7DS96,,7,0.649537633899481,high1237,7,0
high1238,CHDScenario9DS77,,9,0.158632523298515,high1238,9,12.62
high1239,CHDScenario15DS2,,15,0.244530891579737,high1239,15,-0.16058
high124,CHDScenario8DS65,,8,0.124843810346694,high124,8,-1.432
high1240,CHDScenario7DS31,,7,0.174082920184682,high1240,7,0
high1241,CHDScenario2DS83,183,2,0.183367963591173,high1241,2,0.8
high1242,CHDScenario3DS46,,3,0.412303689044964,high1242,3,-0.800000000000001
high1243,CHDScenario11DS91,,11,0.137543013490792,high1243,11,10.77
high1244,CHDScenario14DS89,,14,0.644314041800936,high1244,14,61.11
high1245,CHDScenario15DS33,,15,0.0608582955098359,high1245,15,-0.16058
high1246,CHDScenario6DS41,,6,0.401935563055607,high1246,6,-1.1039
high1247,CHDScenario12DS34,,12,0.489965871094628,high1247,12,-3.159
high1248,CHDScenario10DS48,,10,0.00171942405982695,high1248,10,9.134
high1249,CHDScenario16DS71,,16,0.784755723813998,high1249,16,1
high125,CHDScenario10DS77,,10,0.931659706551861,high125,10,9.134
high1250,CHDScenario12DS20,,12,0.193280025499318,high1250,12,-3.159
high1251,CHDScenario14DS43,,14,0.688246118339246,high1251,14,61.11
high1252,CHDScenario10DS87,,10,0.724240937232851,high1252,10,9.134
high1253,CHDScenario10DS76,,10,0.245336868066577,high1253,10,9.134
high1254,CHDScenario16DS41,,16,0.401774292341588,high1254,16,1
high1255,CHDScenario7DS53,,7,0.720149985040962,high1255,7,0
high1256,CHDScenario6DS40,,6,0.678328632074775,high1256,6,-1.1039
high1257,CHDScenario6DS86,,6,0.701326352410854,high1257,6,-1.1039
high1258,CHDScenario13DS29,,13,0.444298368373274,high1258,13,-0.8486
high1259,CHDScenario5DS24,,5,0.417712196152576,high1259,5,-0.3429
high126,CHDScenario13DS49,,13,0.337035949119597,high126,13,-0.8486
high1260,CHDScenario7DS88,,7,0.209093575876156,high1260,7,0
high1261,CHDScenario8DS92,,8,0.755559902097965,high1261,8,-1.432
high1262,CHDScenario1DS23,23,1,0.645954327605383,high1262,1,0.2
high1263,CHDScenario5DS66,,5,0.324295630053505,high1263,5,-0.3429
high1264,CHDScenario10DS59,,10,0.461526634128277,high1264,10,9.134
high1265,CHDScenario8DS34,,8,0.101183907499297,high1265,8,-1.432
high1266,CHDScenario12DS49,,12,0.0312713533901997,high1266,12,-3.159
high1267,CHDScenario1DS31,31,1,0.984191871454051,high1267,1,0.2
high1268,CHDScenario14DS84,,14,0.137279166395901,high1268,14,61.11
high1269,CHDScenario3DS61,,3,0.87067984305866,high1269,3,-0.800000000000001
high127,CHDScenario9DS96,,9,0.480778826549658,high127,9,12.62
high1270,CHDScenario6DS44,,6,0.224943583167503,high1270,6,-1.1039
high1271,CHDScenario6DS12,,6,0.922471367778693,high1271,6,-1.1039
high1272,CHDScenario14DS93,,14,0.258303809980214,high1272,14,61.11
high1273,CHDScenario8DS47,,8,0.471091169668472,high1273,8,-1.432
high1274,CHDScenario9DS27,,9,0.887606188530163,high1274,9,12.62
high1275,CHDScenario16DS5,,16,0.46199930107476,high1275,16,1
high1276,CHDScenario1DS6,6,1,0.360537662289559,high1276,1,0.2
high1277,CHDScenario7DS71,,7,0.795572850096788,high1277,7,0
high1278,CHDScenario6DS85,,6,0.836357259613016,high1278,6,-1.1039
high1279,CHDScenario15DS21,,15,0.0410614888921821,high1279,15,-0.16058
high128,CHDScenario8DS75,,8,0.900016157708798,high128,8,-1.432
high1280,CHDScenario12DS89,,12,0.541909527399196,high1280,12,-3.159
high1281,CHDScenario7DS69,,7,0.968338703618825,high1281,7,0
high1282,CHDScenario4DS90,,4,0.769182838073398,high1282,4,2.1
high1283,CHDScenario1DS25,25,1,0.620627704973578,high1283,1,0.2
high1284,CHDScenario2DS38,138,2,0.791253103630732,high1284,2,0.8
high1285,CHDScenario16DS32,,16,0.0200549424597295,high1285,16,1
high1286,CHDScenario16DS65,,16,0.756633472689809,high1286,16,1
high1287,CHDScenario7DS36,,7,0.231201264236555,high1287,7,0
high1288,CHDScenario7DS57,,7,0.600292622811429,high1288,7,0
high1289,CHDScenario5DS32,,5,0.788143756804668,high1289,5,-0.3429
high129,CHDScenario7DS27,,7,0.816948518515882,high129,7,0
high1290,CHDScenario7DS13,,7,0.800488439847941,high1290,7,0
high1291,CHDScenario11DS62,,11,0.178459770167336,high1291,11,10.77
high1292,CHDScenario4DS28,,4,0.0242586199710777,high1292,4,2.1
high1293,CHDScenario10DS14,,10,0.834124084354753,high1293,10,9.134
high1294,CHDScenario1DS16,16,1,0.591855107891642,high1294,1,0.2
high1295,CHDScenario1DS34,34,1,0.0244180321579623,high1295,1,0.2
high1296,CHDScenario16DS67,,16,0.712844990021247,high1296,16,1
high1297,CHDScenario5DS79,,5,0.963472363478266,high1297,5,-0.3429
high1298,CHDScenario1DS12,12,1,0.356727572871212,high1298,1,0.2
high1299,CHDScenario11DS69,,11,0.0986827699015123,high1299,11,10.77
high13,CHDScenario3DS91,,3,0.426857355536313,high13,3,-0.800000000000001
high130,CHDScenario5DS30,,5,0.500295636717072,high130,5,-0.3429
high1300,CHDScenario15DS72,,15,0.326134150923283,high1300,15,-0.16058
high1301,CHDScenario4DS25,,4,0.42245919653921,high1301,4,2.1
high1302,CHDScenario11DS18,,11,0.2161279927275,high1302,11,10.77
high1303,CHDScenario13DS87,,13,0.606408581602139,high1303,13,-0.8486
high1304,CHDScenario9DS51,,9,0.438235502228673,high1304,9,12.62
high1305,CHDScenario11DS100,,11,0.345067659770242,high1305,11,10.77
high1306,CHDScenario3DS38,,3,0.37514513138201,high1306,3,-0.800000000000001
high1307,CHDScenario2DS66,166,2,0.566905086659951,high1307,2,0.8
high1308,CHDScenario16DS2,,16,0.413083466518714,high1308,16,1
high1309,CHDScenario13DS18,,13,0.317698920477582,high1309,13,-0.8486
high131,CHDScenario4DS33,,4,0.56824213651679,high131,4,2.1
high1310,CHDScenario11DS90,,11,0.638000840505732,high1310,11,10.77
high1311,CHDScenario4DS39,,4,0.228799190210428,high1311,4,2.1
high1312,CHDScenario15DS71,,15,0.993296604988826,high1312,15,-0.16058
high1313,CHDScenario16DS47,,16,0.948699674968075,high1313,16,1
high1314,CHDScenario4DS97,,4,0.0148650398793737,high1314,4,2.1
high1315,CHDScenario2DS89,189,2,0.574595774123762,high1315,2,0.8
high1316,CHDScenario1DS22,22,1,0.241095341399902,high1316,1,0.2
high1317,CHDScenario5DS99,,5,0.755635723793773,high1317,5,-0.3429
high1318,CHDScenario3DS28,,3,0.199679242628092,high1318,3,-0.800000000000001
high1319,CHDScenario12DS51,,12,0.269290680872548,high1319,12,-3.159
high132,CHDScenario15DS45,,15,0.710893368645197,high132,15,-0.16058
high1320,CHDScenario14DS46,,14,0.313327003859393,high1320,14,61.11
high1321,CHDScenario1DS55,55,1,0.840748409128134,high1321,1,0.2
high1322,CHDScenario6DS24,,6,0.795853219755053,high1322,6,-1.1039
high1323,CHDScenario12DS94,,12,0.630790378991665,high1323,12,-3.159
high1324,CHDScenario9DS70,,9,0.949252113549219,high1324,9,12.62
high1325,CHDScenario6DS84,,6,0.806899368696846,high1325,6,-1.1039
high1326,CHDScenario6DS59,,6,0.378715086990864,high1326,6,-1.1039
high1327,CHDScenario5DS5,,5,0.711015902458656,high1327,5,-0.3429
high1328,CHDScenario10DS58,,10,0.336975508120108,high1328,10,9.134
high1329,CHDScenario11DS49,,11,0.984004034429531,high1329,11,10.77
high133,CHDScenario13DS44,,13,0.0152486961186249,high133,13,-0.8486
high1330,CHDScenario11DS64,,11,0.423748632861306,high1330,11,10.77
high1331,CHDScenario10DS49,,10,0.934320319223369,high1331,10,9.134
high1332,CHDScenario4DS8,,4,0.0506221412051291,high1332,4,2.1
high1333,CHDScenario8DS32,,8,0.59610231334235,high1333,8,-1.432
high1334,CHDScenario3DS66,,3,0.580348202500632,high1334,3,-0.800000000000001
high1335,CHDScenario10DS29,,10,0.173052041300839,high1335,10,9.134
high1336,CHDScenario14DS64,,14,0.54234306708417,high1336,14,61.11
high1337,CHDScenario7DS64,,7,0.28775946732999,high1337,7,0
high1338,CHDScenario8DS93,,8,0.75740781997805,high1338,8,-1.432
high1339,CHDScenario4DS5,,4,0.534206960670887,high1339,4,2.1
